Town Center_0,2,1,690,"Air Conditioner, Carpeting, Dishwasher, Refrigerator, W/D Hookup, Washer and Dryer Connections, Brand New Apartments! Available Now!, Self-Service Laundry, Business Center, Clubhouse, Fitness Center, Swimming Pool, Playground, High Speed Internet, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Bathtub/Shower, Sprinkler System, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Dining Area, Family Room, Linen Closet, Balcony, Patio"
Town Center_1,3,2,879,"Air Conditioner, Carpeting, Dishwasher, Refrigerator, W/D Hookup, Washer and Dryer Connections, Brand New Apartments! Available Now!, Self-Service Laundry, Business Center, Clubhouse, Fitness Center, Swimming Pool, Playground, High Speed Internet, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Bathtub/Shower, Sprinkler System, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Dining Area, Family Room, Linen Closet, Balcony, Patio"
Nantucket Cove_0,2,2,969,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony"
Nantucket Cove_1,3,2,1069,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony"
Nantucket Cove_2,3,3,1079,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony"
Nantucket Cove_3,4,4,1189,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony"
Nantucket Cove_4,4,3,1189,"24/7 Video Surveillance of Clubhouse, Automatic Fire Suppression Systems, Community Stainless Steel Grills, Free Computer Access in Wifi Cafe, Full Sized Garages Available, Indoor Basketball Court, Monthly Resident Events, Pet Stations for Convenience, Pool View Units Available for Summer, Resort Style Landscaping, Resort Style Swimming Pool, Sand Volleyball Court, Trash Compactors on Site, Yogo/Fitness Studio, Package Service, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Courtesy Patrol, Video Patrol, Available 24/7, Curbside Trash Pickup, Recycling Program, Online Services, Social Events, Pet Park, Car Care Center, Business Center, Clubhouse, Lounge, Flex Space, Complimentary Breakfast, Café, Meeting Center, Gated, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Free Weight Equipment, Weightlifting Equipment, Swimming Pool, Basketball Court, Tennis Court, Volleyball Court, Athletic Court, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Walk-In Closets, Balcony"
The Legends Apartments_0,1,1,995,"9 Foot Ceilings, Beautifully Appointed Clubhouse, Bike Maintenance Room, Bocce Ball Court and Viewing Area, Conference Room with Wifi, Dog Washing Station, Dual Flush Toilets, Fitness Center with Fitness-On-Demand, Free Golf at The Legends Golf Course, Free internet, Game Room, Pool Tables, Gathering/Party Rooms, Gift Wrapping Room, Golf free for one year, Granite countertops, Hammock Oasis, Indoor Golf Simulator and Lounge, Keyless Lock System, Leash-Free Dog Park with Walking Path, Outdoor Living Room, Oversized Fire Pits and Gazebo, Pond with Pier/Dock, Resort-Style Swimming Pool, Responsive, On-Site Management, Stainless Steel Appliances, Sun Deck with Luxury Cabanas, Walk In Closet, Walking/Jogging Path, Yoga/Spin Room, Front Door Trash Pickup, Clubhouse, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Room with Views, Walk-In Closets, Balcony, Patio, Lawn"
The Legends Apartments_1,1,1,940,"9 Foot Ceilings, Beautifully Appointed Clubhouse, Bike Maintenance Room, Bocce Ball Court and Viewing Area, Conference Room with Wifi, Dog Washing Station, Dual Flush Toilets, Fitness Center with Fitness-On-Demand, Free Golf at The Legends Golf Course, Free internet, Game Room, Pool Tables, Gathering/Party Rooms, Gift Wrapping Room, Golf free for one year, Granite countertops, Hammock Oasis, Indoor Golf Simulator and Lounge, Keyless Lock System, Leash-Free Dog Park with Walking Path, Outdoor Living Room, Oversized Fire Pits and Gazebo, Pond with Pier/Dock, Resort-Style Swimming Pool, Responsive, On-Site Management, Stainless Steel Appliances, Sun Deck with Luxury Cabanas, Walk In Closet, Walking/Jogging Path, Yoga/Spin Room, Front Door Trash Pickup, Clubhouse, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Room with Views, Walk-In Closets, Balcony, Patio, Lawn"
The Legends Apartments_2,2,2,1100,"9 Foot Ceilings, Beautifully Appointed Clubhouse, Bike Maintenance Room, Bocce Ball Court and Viewing Area, Conference Room with Wifi, Dog Washing Station, Dual Flush Toilets, Fitness Center with Fitness-On-Demand, Free Golf at The Legends Golf Course, Free internet, Game Room, Pool Tables, Gathering/Party Rooms, Gift Wrapping Room, Golf free for one year, Granite countertops, Hammock Oasis, Indoor Golf Simulator and Lounge, Keyless Lock System, Leash-Free Dog Park with Walking Path, Outdoor Living Room, Oversized Fire Pits and Gazebo, Pond with Pier/Dock, Resort-Style Swimming Pool, Responsive, On-Site Management, Stainless Steel Appliances, Sun Deck with Luxury Cabanas, Walk In Closet, Walking/Jogging Path, Yoga/Spin Room, Front Door Trash Pickup, Clubhouse, High Speed Internet, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Room with Views, Walk-In Closets, Balcony, Patio, Lawn"
